date	registrants	pills	dosages	Source
2020-07-06	0	0		
2020-09-30	148000	2500000		https://g1.globo.com/sc/santa-catarina/noticia/2021/03/31/prefeitura-de-itajai-distribui-25-milhoes-de-comprimidos-de-remedio-sem-eficacia-comprovada-contra-a-covid-19.ghtml
2020-09-03	140000	2000000		https://itajai.sc.gov.br/noticia/25671/coronavirus-tratamento-profilatico-com-ivermectina-continua-disponivel-no-centreventos#.ZBiqxezMKF0
2020-08-07	135000	1851030		https://itajai.sc.gov.br/noticia/25584/centreventos-abre-neste-sabado-8-para-distribuicao-de-ivermectina#.ZBisaezMKF0
2020-07-31	126238	1584455		https://itajai.sc.gov.br/noticia/25558/mais-de-15-milhao-de-comprimidos-de-ivermectina-ja-foram-distribuidos-em-itajai#.ZBir2OzMKF0
2020-07-23		1036308	132559	https://www.itajai.sc.gov.br/noticia/25519/segunda-e-terceira-doses-de-ivermectina-podem-ser-retiradas-por-moradores#.ZBitB-zMKF0
2020-07-19	110000	721000		https://itajai.sc.gov.br/noticia/25502/110-mil-pessoas-ja-aderiram-ao-tratamento-profilatico-com-ivermectina#.ZBitnOzMKF0
2020-07-17	91000			https://saude.itajai.sc.gov.br/noticia/25497#.ZBisFuzMKF0
2020-07-12	47000			https://itajai.sc.gov.br/noticia/25467/mais-de-47-mil-pessoas-ja-retiraram-medicacao-para-enfrentamento-ao-coronavirus#.ZBiu0OzMKF0
2020-07-10	20000	116800		https://itajai.sc.gov.br/noticia/25454/quinze-unidades-de-saude-abrirao-neste-fim-de-semana-para-distribuicao-de-ivermectina#.ZBit8ezMKF0
